Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.39794 0.5491551757 2.2829575573    0.549 -1.311  3.5676  4.711    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.66e-15      0.00 7.150e-01 2.700e-01 2.694e-03 7.269e-04 6.593e-03 -1.000 1.498e-02 8.047 12.218 10.868 9.464 8.460 7.407 6.329 5.660 5.445
0.0152 0.01508 9.39794 0.5500000119 2.2836582633    0.550 -1.308  3.5679  4.710    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.68e-15      0.00 7.151e-01 2.699e-01 2.693e-03 7.266e-04 6.590e-03 -1.000 1.497e-02 8.040 12.208 10.857 9.454 8.450 7.400 6.323 5.654 5.440
0.0152 0.01508 9.39794 0.6000000238 2.3211213258    0.600 -1.145  3.5910  4.677    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.34e-15      0.00 7.160e-01 2.690e-01 2.685e-03 7.246e-04 6.573e-03 -1.000 1.494e-02 7.632 11.552 10.173 8.797 7.851 6.956 5.976 5.289 5.105
0.0152 0.01508 9.39794 0.6499999762 2.3520353107    0.650 -0.981  3.6185  4.657    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.64e-15      0.00 7.168e-01 2.682e-01 2.678e-03 7.227e-04 6.555e-03 -1.000 1.493e-02 7.222 10.867 9.449 8.144 7.263 6.521 5.630 4.938 4.797
0.0152 0.01508 9.39794 0.7000000477 2.3779267258    0.700 -0.823  3.6470  4.647    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-14      0.00 7.177e-01 2.675e-01 2.672e-03 7.209e-04 6.540e-03 -1.000 1.484e-02 6.828 10.041 8.685 7.500 6.703 6.110 5.309 4.650 4.547
0.0152 0.01508 9.39794 0.7151253223 2.3849434828    0.715 -0.777  3.6559  4.645    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-14      0.00 7.180e-01 2.672e-01 2.658e-03 7.200e-04 6.534e-03 -1.000 1.482e-02 6.712 9.730 8.448 7.306 6.542 5.987 5.218 4.582 4.487
0.0152 0.01508 9.39794 0.7500000000 2.3998889087    0.750 -0.673  3.6757  4.641    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.47e-14      0.00 7.185e-01 2.667e-01 2.629e-03 7.182e-04 6.525e-03 -1.000 1.484e-02 6.452 9.014 7.934 6.892 6.207 5.715 5.018 4.444 4.362
0.0152 0.01508 9.39794 0.8000000119 2.4187244405    0.800 -0.537  3.6967  4.616    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -2e-14      0.00 7.197e-01 2.655e-01 2.619e-03 7.155e-04 6.500e-03 -1.000 1.479e-02 6.112 8.227 7.365 6.419 5.814 5.371 4.745 4.237 4.165
0.0152 0.01508 9.39794 0.8485616446 2.4345962689    0.848 -0.410  3.7158  4.591    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-14      0.00 7.211e-01 2.642e-01 2.608e-03 7.124e-04 6.473e-03 -1.000 1.469e-02 5.794 7.539 6.873 6.006 5.466 5.058 4.496 4.043 3.979
0.0152 0.01508 9.39794 0.8500000238 2.4350346840    0.850 -0.406  3.7163  4.591    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -2.7e-14      0.00 7.212e-01 2.641e-01 2.608e-03 7.123e-04 6.472e-03 -1.000 1.469e-02 5.785 7.520 6.859 5.994 5.456 5.050 4.489 4.037 3.973
0.0152 0.01508 9.39794 0.8608477712 2.4382868612    0.860 -0.378  3.7203  4.584    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.88e-14      0.00 7.216e-01 2.638e-01 2.604e-03 7.115e-04 6.464e-03 -1.000 1.468e-02 5.716 7.377 6.756 5.907 5.382 4.983 4.435 3.994 3.932
0.0152 0.01508 9.39794 0.9000000358 2.4492786175    0.899 -0.281  3.7341  4.561    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.63e-14      0.00 7.229e-01 2.624e-01 2.593e-03 7.083e-04 6.436e-03 -1.000 1.462e-02 5.472 6.897 6.408 5.612 5.125 4.748 4.243 3.839 3.782
0.0152 0.01508 9.39794 0.9305317998 2.4571160842    0.930 -0.206  3.7440  4.541    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.34e-14      0.00 7.244e-01 2.611e-01 2.581e-03 7.052e-04 6.409e-03 -1.000 1.454e-02 5.285 6.541 6.148 5.392 4.935 4.574 4.099 3.719 3.666
